what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316968205449
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316968341552
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316968356409
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1316968472593
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1316968474296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1316968482114
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1316968484196
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316968489064
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316968597229
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316984324328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316984331930
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316984333585
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316984339748
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316984342737
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316984349613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316984356932
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316984358941
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316985463124
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316985465533
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316985574262
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316985589835
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316996451532
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1316996455516
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1316996455558
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1316996455624
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1316996455714
